Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
4,17,592.5396,3.3236,117.8310,3.5144,0.436200,N/A,N/A,N/A
4,18,581.6122,3.0119,120.1316,3.2496,0.430000,N/A,N/A,N/A
4,19,597.9496,2.8199,121.9710,3.4489,0.436100,N/A,N/A,N/A
4,20,589.2001,2.8505,116.2465,3.1924,0.432000,N/A,N/A,N/A
4,21,592.8896,2.9990,117.3522,2.6824,0.432100,N/A,N/A,N/A
4,22,591.8716,3.1743,115.0195,3.0287,0.433900,N/A,N/A,N/A
4,23,596.6445,3.3971,120.1574,3.0287,0.435600,N/A,N/A,N/A
4,24,582.0827,3.2226,114.3491,3.0158,0.429600,N/A,N/A,N/A
4,25,582.0827,3.2226,111.8659,3.0158,0.429600,N/A,N/A,N/A
4,26,591.0572,3.2461,116.0358,3.3213,0.434900,N/A,N/A,N/A
4,27,591.0572,3.2116,116.0358,3.3213,0.434800,N/A,N/A,N/A
4,28,598.0056,3.0846,120.6353,2.9383,0.435800,N/A,N/A,N/A
4,29,579.1001,2.9990,115.4645,3.1546,0.428600,N/A,N/A,N/A
4,30,584.4839,3.2794,112.4517,3.2151,0.431500,N/A,N/A,N/A
4,31,597.9496,2.8199,121.9710,3.4489,0.436100,N/A,N/A,N/A
4,32,595.4599,3.3472,119.3965,3.2118,0.436200,N/A,N/A,N/A
4,33,595.4599,3.2896,120.4079,3.2749,0.436500,N/A,N/A,N/A
4,34,584.4839,3.2794,112.4517,3.2151,0.431500,N/A,N/A,N/A
4,35,598.6741,3.7234,110.0596,3.2281,0.436100,N/A,N/A,N/A
4,36,599.2380,3.2517,115.8251,3.4501,0.438900,N/A,N/A,N/A
4,37,586.0881,3.1902,120.8226,2.8569,0.430500,N/A,N/A,N/A
4,38,598.3118,3.2716,116.0153,3.1477,0.437300,N/A,N/A,N/A
4,39,600.0000,3.2716,116.0153,3.3385,0.438500,N/A,N/A,N/A
4,40,584.4922,3.2227,118.1901,3.0874,0.431000,N/A,N/A,N/A
4,41,567.5846,3.2227,118.1901,3.0874,0.423400,N/A,N/A,N/A
4,42,587.2727,3.5312,113.2204,3.1172,0.431600,N/A,N/A,N/A
4,43,587.2727,3.3906,113.2204,3.1172,0.432100,N/A,N/A,N/A
4,44,592.8535,3.3992,114.9071,3.2347,0.435100,N/A,N/A,N/A
4,45,592.8535,3.3992,114.9071,3.2347,0.435100,N/A,N/A,N/A
4,46,596.3409,2.9860,122.9898,3.2762,0.436200,N/A,N/A,N/A
4,47,596.3409,2.9860,122.9898,3.2762,0.436200,N/A,N/A,N/A
4,48,592.6208,3.1002,121.2571,3.0015,0.433900,N/A,N/A,N/A
4,49,592.6208,2.9511,121.2571,3.0411,0.433400,N/A,N/A,N/A
4,50,596.4826,3.1461,114.3431,3.0318,0.435800,N/A,N/A,N/A
5,1,599.2380,3.2517,115.8251,3.4501,0.438900,N/A,N/A,N/A
5,2,598.8144,3.3899,121.9770,3.4386,0.438300,N/A,N/A,N/A
5,3,598.2072,3.0695,122.0805,3.4386,0.438000,N/A,N/A,N/A
5,4,599.0028,3.1781,119.4960,3.1384,0.437400,N/A,N/A,N/A
5,5,599.0028,3.1781,121.9245,3.1384,0.437400,N/A,N/A,N/A
5,6,597.5075,3.1792,121.0437,3.2521,0.437300,N/A,N/A,N/A
5,7,597.5075,3.3547,116.5247,3.2521,0.437100,N/A,N/A,N/A
5,8,595.4510,2.9517,121.2512,3.4085,0.436100,N/A,N/A,N/A
5,9,594.6934,2.9517,122.9199,3.4085,0.435800,N/A,N/A,N/A
5,10,576.0828,3.1712,118.0556,3.1500,0.427500,N/A,N/A,N/A
5,11,593.6658,3.4119,118.0556,2.8412,0.433500,N/A,N/A,N/A
5,12,595.2274,3.1507,117.7173,3.0565,0.435400,N/A,N/A,N/A
5,13,594.3922,3.1507,117.7173,3.4224,0.436600,N/A,N/A,N/A
5,14,596.3409,2.9860,122.9898,3.2762,0.436200,N/A,N/A,N/A
5,15,595.4599,3.3472,119.3965,3.2118,0.436200,N/A,N/A,N/A
5,16,595.5592,3.4741,117.8310,3.4686,0.436800,N/A,N/A,N/A
5,17,592.5396,3.3236,117.8310,3.4686,0.436000,N/A,N/A,N/A
5,18,595.9004,3.1666,121.1932,3.2440,0.436500,N/A,N/A,N/A
5,19,595.9004,3.1666,121.1932,3.2440,0.436500,N/A,N/A,N/A
5,20,594.7214,2.9986,119.8974,3.1532,0.435100,N/A,N/A,N/A
5,21,593.4003,2.9986,119.8974,3.1532,0.434500,N/A,N/A,N/A
5,22,597.7299,3.3094,117.7059,3.2752,0.437500,N/A,N/A,N/A
5,23,597.0375,3.3094,115.9449,3.2752,0.437300,N/A,N/A,N/A
5,24,593.0779,3.1701,121.8190,2.7949,0.433300,N/A,N/A,N/A
5,25,597.5708,3.1701,121.8190,2.9762,0.436000,N/A,N/A,N/A
5,26,595.5937,3.0831,121.4707,3.6363,0.437700,N/A,N/A,N/A
5,27,595.5937,3.1005,121.4707,3.4878,0.437200,N/A,N/A,N/A
5,28,596.3409,3.0128,122.9898,3.3820,0.436700,N/A,N/A,N/A
5,29,596.3409,2.6756,122.9898,3.2762,0.433000,N/A,N/A,N/A
5,30,595.2446,3.0717,119.9010,3.2665,0.436100,N/A,N/A,N/A
5,31,595.2446,3.0717,119.9010,3.5348,0.437100,N/A,N/A,N/A
5,32,595.1312,3.0308,122.5413,3.1410,0.435300,N/A,N/A,N/A
5,33,595.1312,3.0308,121.5742,3.5225,0.436900,N/A,N/A,N/A
5,34,597.3658,2.9367,125.5593,3.3516,0.436600,N/A,N/A,N/A
5,35,597.3658,2.9367,125.5593,3.4383,0.436900,N/A,N/A,N/A
5,36,594.8569,2.9964,119.7805,3.1514,0.435100,N/A,N/A,N/A
5,37,599.6984,2.8860,119.7805,3.1514,0.436300,N/A,N/A,N/A
5,38,600.0000,3.1619,118.2596,3.3391,0.438700,N/A,N/A,N/A
5,39,598.9560,3.4875,112.9424,3.3391,0.437800,N/A,N/A,N/A
5,40,595.2446,3.0717,113.6301,3.4816,0.437000,N/A,N/A,N/A
5,41,595.2446,3.0717,122.6634,3.4816,0.436900,N/A,N/A,N/A
5,42,592.3300,3.0701,118.3272,3.4776,0.435700,N/A,N/A,N/A
5,43,585.7576,2.8805,120.5128,3.2336,0.431000,N/A,N/A,N/A
5,44,596.0458,3.0615,117.6496,3.3424,0.436700,N/A,N/A,N/A
5,45,584.5331,3.3255,115.3661,3.3424,0.432000,N/A,N/A,N/A
5,46,597.7299,3.4162,117.7059,3.2752,0.437100,N/A,N/A,N/A
5,47,597.7299,3.3094,117.7059,3.2752,0.437500,N/A,N/A,N/A
5,48,600.0000,3.2259,117.9834,3.5189,0.439500,N/A,N/A,N/A
5,49,586.0770,3.2266,117.9834,3.5189,0.433500,N/A,N/A,N/A
5,50,594.8656,3.4847,118.3333,3.2747,0.435700,N/A,N/A,N/A
6,1,600.0000,3.2259,117.9834,3.5189,0.439500,N/A,N/A,N/A
6,2,599.6190,3.2068,117.0424,3.3946,0.438800,N/A,N/A,N/A
6,3,599.6190,3.2068,117.0424,3.3946,0.438800,N/A,N/A,N/A
6,4,594.8184,3.1112,120.1903,3.4710,0.436800,N/A,N/A,N/A
6,5,589.5100,3.1112,120.1903,3.4520,0.434500,N/A,N/A,N/A
6,6,583.3967,3.3404,120.9390,3.4867,0.432000,N/A,N/A,N/A
6,7,597.0295,3.2308,120.9390,3.4867,0.438100,N/A,N/A,N/A
6,8,600.0000,3.1168,114.6454,3.4104,0.438800,N/A,N/A,N/A
6,9,597.6223,3.1168,119.4174,3.4104,0.437800,N/A,N/A,N/A
6,10,598.8650,3.1783,116.0102,3.3071,0.438100,N/A,N/A,N/A
6,11,598.8650,3.2357,117.9827,3.2169,0.437800,N/A,N/A,N/A
6,12,596.4873,3.3874,118.8034,3.4050,0.437200,N/A,N/A,N/A
6,13,596.4873,3.2278,118.8034,3.2262,0.436800,N/A,N/A,N/A
6,14,598.9528,2.9778,120.9305,3.2950,0.437300,N/A,N/A,N/A
6,15,598.9528,3.0908,120.9305,3.2950,0.437800,N/A,N/A,N/A
6,16,600.0000,2.6428,120.2423,3.3571,0.434100,N/A,N/A,N/A
6,17,590.1090,2.8191,122.0805,3.4386,0.433000,N/A,N/A,N/A
6,18,591.2776,3.0128,122.9898,3.3820,0.434600,N/A,N/A,N/A
6,19,598.8144,3.3899,121.9770,3.4386,0.438300,N/A,N/A,N/A
6,20,600.0000,3.2300,120.4104,3.5587,0.439600,N/A,N/A,N/A
6,21,595.9500,3.2300,123.8503,3.3724,0.437100,N/A,N/A,N/A
6,22,588.9065,3.0502,121.4571,3.4806,0.434200,N/A,N/A,N/A
6,23,596.6692,3.0502,121.8273,3.4806,0.437400,N/A,N/A,N/A
6,24,596.9004,3.0850,121.7756,3.4632,0.437600,N/A,N/A,N/A
6,25,600.0000,3.0850,121.7756,3.4632,0.438900,N/A,N/A,N/A
6,26,598.6050,2.8885,122.0025,3.2885,0.436400,N/A,N/A,N/A
6,27,598.6050,3.1238,122.0025,3.1985,0.437400,N/A,N/A,N/A
6,28,600.0000,3.0042,124.1113,3.4600,0.438500,N/A,N/A,N/A
6,29,596.3052,3.0042,124.1113,3.4600,0.437000,N/A,N/A,N/A
6,30,600.0000,3.0568,119.7554,3.3738,0.438400,N/A,N/A,N/A
6,31,597.7255,2.7401,119.7554,3.5065,0.435300,N/A,N/A,N/A
6,32,597.2080,3.5115,116.1694,3.1846,0.436300,N/A,N/A,N/A
6,33,600.0000,3.4173,116.1694,3.2193,0.437900,N/A,N/A,N/A
6,34,600.0000,3.2154,118.4344,3.3511,0.438800,N/A,N/A,N/A
6,35,598.3727,3.2154,118.4438,3.3555,0.438100,N/A,N/A,N/A
6,36,600.0000,3.2865,118.6900,3.3654,0.438700,N/A,N/A,N/A
6,37,597.9365,3.2865,118.2227,3.3654,0.438000,N/A,N/A,N/A
6,38,598.0201,3.2438,116.1977,3.0503,0.436700,N/A,N/A,N/A
6,39,598.0201,3.1532,117.7204,3.2068,0.437300,N/A,N/A,N/A
6,40,594.8184,3.1112,121.1492,3.4786,0.436900,N/A,N/A,N/A
6,41,587.1645,3.1179,118.8091,3.4786,0.433700,N/A,N/A,N/A
6,42,595.5937,3.0918,121.4707,3.5621,0.437400,N/A,N/A,N/A
6,43,595.5937,3.2866,121.4707,3.5621,0.437700,N/A,N/A,N/A
6,44,597.2749,3.2853,117.2065,3.4877,0.438200,N/A,N/A,N/A
6,45,597.2749,3.2853,117.2065,3.4877,0.438200,N/A,N/A,N/A
6,46,597.9686,3.2429,119.8932,3.3569,0.438000,N/A,N/A,N/A
6,47,597.9686,3.2429,119.8932,3.0202,0.436500,N/A,N/A,N/A
6,48,598.3430,3.3985,115.3241,3.6421,0.438900,N/A,N/A,N/A
6,49,598.3430,3.3985,115.3241,3.3071,0.437600,N/A,N/A,N/A
6,50,595.6801,3.2569,120.2948,3.1160,0.436000,N/A,N/A,N/A
7,1,600.0000,3.2300,120.4104,3.5587,0.439600,N/A,N/A,N/A
7,2,599.8095,3.1625,114.8875,3.5935,0.439600,N/A,N/A,N/A
7,3,599.8095,3.2730,117.5129,3.4568,0.439100,N/A,N/A,N/A
7,4,598.9810,3.3026,118.9940,3.5184,0.438900,N/A,N/A,N/A
7,5,598.9810,3.3026,116.1832,3.5184,0.438900,N/A,N/A,N/A
7,6,598.1546,3.2510,118.3333,3.2943,0.437800,N/A,N/A,N/A
7,7,598.1546,3.4802,112.2001,3.3605,0.437600,N/A,N/A,N/A
7,8,599.2859,3.0176,118.9864,3.3448,0.437900,N/A,N/A,N/A
7,9,599.2859,3.0923,119.7881,3.3448,0.438200,N/A,N/A,N/A
7,10,600.0000,3.1652,118.9725,3.2340,0.438200,N/A,N/A,N/A
7,11,600.0000,3.2512,118.9725,2.9151,0.436900,N/A,N/A,N/A
7,12,597.2119,3.1722,121.5470,3.7907,0.439200,N/A,N/A,N/A
