Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
4,21,578.6560,3.2413,120.9868,3.1558,0.513860,0.428700,0.641600,N/A
4,22,587.3357,3.1776,120.8192,3.3139,0.517900,0.433100,0.645100,N/A
4,23,587.1646,3.1776,119.6156,3.3139,0.517860,0.433100,0.645000,N/A
4,24,589.1909,3.3429,121.7549,3.0918,0.517380,0.432900,0.644100,N/A
4,25,589.1909,3.3429,123.1561,3.0918,0.517340,0.432900,0.644000,N/A
4,26,585.9607,3.2945,119.4551,3.1227,0.516420,0.431700,0.643500,N/A
4,27,585.9607,3.2945,119.4551,3.4868,0.518200,0.433200,0.645700,N/A
4,28,581.6603,3.2873,120.6385,3.1656,0.515000,0.430000,0.642500,N/A
4,29,581.6603,3.4306,124.4600,3.0471,0.513800,0.429000,0.641000,N/A
4,30,589.9377,3.3180,124.5406,3.0427,0.517400,0.433000,0.644000,N/A
4,31,583.0353,3.1237,124.2097,3.0158,0.514660,0.429900,0.641800,N/A
4,32,581.4862,3.2299,122.5889,2.9792,0.513940,0.429100,0.641200,N/A
4,33,595.7815,3.2299,122.5889,2.9792,0.519300,0.435300,0.645300,N/A
4,34,577.7488,3.4185,122.5872,3.2885,0.513640,0.428400,0.641500,N/A
4,35,577.0082,3.1819,118.2706,3.3445,0.514180,0.428700,0.642400,N/A
4,36,576.9480,3.2801,116.1682,3.3353,0.514040,0.428600,0.642200,N/A
4,37,565.4033,3.2801,117.7528,3.0222,0.507740,0.421900,0.636500,N/A
4,38,582.7281,3.2672,123.7250,2.9987,0.514460,0.429700,0.641600,N/A
4,39,588.1663,3.3396,117.4781,3.3058,0.518120,0.433400,0.645200,N/A
4,40,578.1651,3.2874,117.2741,2.8341,0.511780,0.426900,0.639100,N/A
4,41,578.1651,3.2874,117.2741,3.0347,0.512920,0.427800,0.640600,N/A
4,42,585.6777,3.2108,125.3256,3.3266,0.517380,0.432500,0.644700,N/A
4,43,585.6777,3.3038,125.3256,3.3266,0.517280,0.432400,0.644600,N/A
4,44,577.8134,3.1598,126.2141,3.0537,0.512920,0.427800,0.640600,N/A
4,45,580.4244,3.1417,120.8563,2.5837,0.511080,0.426600,0.637800,N/A
4,46,581.6603,3.2711,123.3985,3.1521,0.514900,0.429900,0.642400,N/A
4,47,586.0145,3.2711,121.5404,3.1521,0.516620,0.431900,0.643700,N/A
4,48,580.3548,3.2184,122.2629,3.0887,0.514140,0.429100,0.641700,N/A
4,49,580.3548,3.3860,122.2629,3.0887,0.513760,0.428800,0.641200,N/A
4,50,581.2519,3.1497,125.3167,3.1316,0.514700,0.429700,0.642200,N/A
5,1,594.2471,3.2135,118.5939,3.7120,0.522340,0.437700,0.649300,N/A
5,2,590.5040,3.4952,126.3023,3.0440,0.517040,0.432800,0.643400,N/A
5,3,590.5040,3.2535,126.3023,3.1033,0.518000,0.433600,0.644600,N/A
5,4,592.1345,3.2351,121.8742,3.1673,0.519000,0.434600,0.645600,N/A
5,5,590.5304,3.2351,121.8742,3.3211,0.519200,0.434600,0.646100,N/A
5,6,578.4739,3.2737,127.9605,3.1194,0.513420,0.428300,0.641100,N/A
5,7,587.2514,3.2737,122.0408,3.0059,0.516280,0.431800,0.643000,N/A
5,8,585.9724,3.2187,121.6414,3.3021,0.517340,0.432500,0.644600,N/A
5,9,585.9724,3.2187,121.6414,3.3021,0.517340,0.432500,0.644600,N/A
5,10,584.7728,3.2962,122.2192,3.0984,0.515820,0.431100,0.642900,N/A
5,11,584.7728,3.5297,122.2192,3.0984,0.514900,0.430300,0.641800,N/A
5,12,587.2241,3.4078,120.3073,3.1797,0.516900,0.432300,0.643800,N/A
5,13,587.2241,3.2674,120.3073,3.2390,0.517520,0.432800,0.644600,N/A
5,14,589.2127,3.2792,122.8500,2.8215,0.515940,0.431700,0.642300,N/A
5,15,589.2127,3.3730,122.8500,3.1990,0.517920,0.433400,0.644700,N/A
5,16,591.7781,3.2144,118.8730,3.2519,0.519380,0.434900,0.646100,N/A
5,17,591.7781,3.2144,124.1068,3.5813,0.520880,0.436200,0.647900,N/A
5,18,600.0000,3.2090,124.5796,3.0962,0.521500,0.437700,0.647200,N/A
5,19,587.8261,3.2090,120.3875,3.3346,0.518260,0.433500,0.645400,N/A
5,20,592.3755,3.2335,122.4481,3.4570,0.520500,0.435900,0.647400,N/A
5,21,592.3755,3.4229,122.4481,3.4570,0.520260,0.435700,0.647100,N/A
5,22,588.1957,3.4237,123.1135,3.3519,0.518120,0.433400,0.645200,N/A
5,23,588.1957,3.2362,123.1135,3.3519,0.518460,0.433700,0.645600,N/A
5,24,592.4862,3.0187,122.8725,3.0355,0.517820,0.433700,0.644000,N/A
5,25,593.2216,3.4316,122.8725,3.0355,0.518360,0.434200,0.644600,N/A
5,26,596.3410,3.2704,117.2261,3.0184,0.519800,0.435800,0.645800,N/A
5,27,586.0821,3.4228,123.4704,2.8650,0.514560,0.430200,0.641100,N/A
5,28,588.2592,3.2623,126.1896,3.0117,0.516640,0.432200,0.643300,N/A
5,29,581.5688,3.0073,123.9213,3.0117,0.513700,0.428900,0.640900,N/A
5,30,591.0167,3.3015,123.2996,3.1778,0.518540,0.434100,0.645200,N/A
5,31,591.0167,3.3015,120.8943,3.0826,0.518060,0.433700,0.644600,N/A
5,32,586.5627,3.2361,119.5353,3.2183,0.517260,0.432500,0.644400,N/A
5,33,586.5627,3.2361,119.5353,3.2719,0.517500,0.432700,0.644700,N/A
5,34,587.2511,3.3233,118.7624,3.2537,0.517620,0.432900,0.644700,N/A
5,35,587.2511,3.2557,121.3499,3.2537,0.517620,0.432900,0.644700,N/A
5,36,585.0281,3.1461,122.7557,3.1737,0.516300,0.431500,0.643500,N/A
5,37,585.0281,3.1461,122.7557,3.1966,0.516440,0.431600,0.643700,N/A
5,38,583.7597,3.2136,121.1495,3.2094,0.516080,0.431200,0.643400,N/A
5,39,583.7597,3.2136,118.2295,3.1013,0.515540,0.430700,0.642800,N/A
5,40,586.1869,3.2199,129.6143,3.2647,0.517200,0.432400,0.644400,N/A
5,41,586.1869,3.2199,122.1499,3.1669,0.516820,0.432100,0.643900,N/A
5,42,580.7513,3.2568,124.8727,3.1376,0.514500,0.429500,0.642000,N/A
5,43,591.6732,3.1904,118.8759,3.1912,0.518940,0.434500,0.645600,N/A
5,44,587.9117,3.2090,121.9902,3.3346,0.518260,0.433500,0.645400,N/A
5,45,587.9117,3.2090,120.9894,3.0377,0.516720,0.432200,0.643500,N/A
5,46,588.6786,3.3412,120.3171,3.1988,0.517800,0.433200,0.644700,N/A
5,47,588.2735,3.3412,120.3171,3.1988,0.517600,0.433000,0.644500,N/A
5,48,585.4256,3.3070,122.5767,2.7590,0.514060,0.429700,0.640600,N/A
5,49,585.4256,3.3070,122.5767,3.1220,0.516120,0.431400,0.643200,N/A
5,50,583.6690,3.2956,122.9820,3.2461,0.516160,0.431200,0.643600,N/A
6,1,594.2471,3.2135,118.5939,3.7120,0.522340,0.437700,0.649300,N/A
6,2,592.0244,3.4730,117.3089,3.5559,0.520400,0.435800,0.647300,N/A
6,3,592.0244,3.3066,120.6620,3.3241,0.519780,0.435300,0.646500,N/A
